Floor,goblin,slime,bat,skeleton,wolf,orc,troll,ghost,automaton,zombie,monolith
0,0.5,0.25,0.25,0,0,0,0,0,0,0,0
1,0.4,0.3,0.3,0,0,0,0,0,0,0,0
2,0.4,0.3,0.3,0,0,0,0,0,0,0,0
3,0.35,0.3,0.35,0,0,0,0,0,0,0,0
4,0.3,0.25,0.25,0.05,0.1,0.05,0,0,0,0,0
5,0.2,0.25,0.2,0.1,0.15,0.1,0,0,0,0,0
6,0.2,0.2,0.2,0.1,0.15,0.15,0,0,0,0,0
7,0.1,0.2,0.2,0.1,0.2,0.2,0,0,0,0,0
8,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0,0.2,0
9,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0,0.2,0
10,0.05,0.05,0.05,0.15,0.1,0.2,0,0.1,0.1,0.2,0
11,0,0.05,0.05,0.2,0.05,0.25,0.05,0.1,0.1,0.15,0
12,0,0.05,0.05,0.2,0.05,0.25,0.05,0.1,0.1,0.15,0
13,0,0,0,0.2,0.05,0.25,0.05,0.1,0.1,0.25,0
14,0,0,0,0.2,0.05,0.2,0.15,0.1,0.15,0.15,0
15,0,0,0,0.2,0.05,0.15,0.15,0.1,0.2,0.15,0
16,0,0,0,0.2,0.05,0.1,0.2,0.1,0.2,0.14,0.01
17,0,0,0,0.2,0.05,0.1,0.2,0.1,0.2,0.1,0.05
18,0,0,0,0.15,0.05,0.1,0.25,0.1,0.15,0.1,0.1
19,0,0,0,0.15,0.05,0.1,0.25,0.1,0.15,0.1,0.1
